 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
18314	E01018852	Cornwall 040D	E06000052	Cornwall	South West	114	417	37.4	1114.9732620321
18315	E01018853	Cornwall 042C	E06000052	Cornwall	South West	43	121	11.6	1043.1034482759
18388	E01018926	Cornwall 011B	E06000052	Cornwall	South West	60	377	35.6	1058.988764045
18424	E01018965	Cornwall 006C	E06000052	Cornwall	South West	28	326	31.7	1028.3911671924
18427	E01018968	Cornwall 004C	E06000052	Cornwall	South West	39	452	43.5	1039.0804597701
18428	E01018969	Cornwall 003D	E06000052	Cornwall	South West	44	370	35.5	1042.2535211268
18433	E01018974	Cornwall 002C	E06000052	Cornwall	South West	40	361	34.7	1040.3458213257
18435	E01018976	Cornwall 067A	E06000052	Cornwall	South West	9	223	22.1	1009.0497737557
18444	E01018985	Cornwall 058A	E06000052	Cornwall	South West	24	222	21.7	1023.0414746544
18454	E01018995	Cornwall 068A	E06000052	Cornwall	South West	80	228	21.1	1080.5687203792
18471	E01019012	Cornwall 054E	E06000052	Cornwall	South West	37	298	28.8	1034.7222222222
18476	E01019017	Cornwall 036E	E06000052	Cornwall	South West	103	229	20.8	1100.9615384615
18536	E01019077	Isles of Scilly 001A	E06000053	Isles of Scilly	South West	26	302	29.5	1023.7288135593
18580	E01019121	Allerdale 009E	E07000026	Allerdale	North West	26	219	21.4	1023.3644859813
18670	E01019213	Carlisle 013B	E07000028	Carlisle	North West	140	204	17.8	1146.0674157303
18737	E01019280	Copeland 002B	E07000029	Copeland	North West	18	139	13.7	1014.598540146
18817	E01019360	South Lakeland 004A	E07000031	South Lakeland	North West	47	186	17.8	1044.9438202247
18824	E01019367	South Lakeland 006B	E07000031	South Lakeland	North West	80	135	12.5	1080
18827	E01019370	South Lakeland 003D	E07000031	South Lakeland	North West	47	137	13.1	1045.8015267176
18864	E01019407	Amber Valley 010A	E07000032	Amber Valley	East Midlands	36	260	25.1	1035.8565737052
18928	E01019472	Amber Valley 016D	E07000032	Amber Valley	East Midlands	144	395	34.4	1148.2558139535
18933	E01019477	Amber Valley 002D	E07000032	Amber Valley	East Midlands	29	228	22.2	1027.027027027
18947	E01019491	Bolsover 001C	E07000033	Bolsover	East Midlands	2	177	17.7	1000
18959	E01019503	Bolsover 007A	E07000033	Bolsover	East Midlands	66	187	17.5	1068.5714285714
18968	E01019512	Bolsover 006D	E07000033	Bolsover	East Midlands	115	133	11.9	1117.6470588235
19040	E01019585	Chesterfield 012G	E07000034	Chesterfield	East Midlands	22	139	13.6	1022.0588235294
19154	E01019700	Erewash 015C	E07000036	Erewash	East Midlands	29	155	15.1	1026.4900662252
19168	E01019714	High Peak 012A	E07000037	High Peak	East Midlands	35	250	24.2	1033.0578512397
19222	E01019768	High Peak 003F	E07000037	High Peak	East Midlands	65	192	18	1066.6666666667
19227	E01019773	North East Derbyshire 012A	E07000038	North East Derbyshire	East Midlands	127	200	17.7	1129.9435028249
19231	E01019777	North East Derbyshire 012D	E07000038	North East Derbyshire	East Midlands	86	142	13.1	1083.9694656489
19268	E01019815	North East Derbyshire 014C	E07000038	North East Derbyshire	East Midlands	114	144	12.9	1116.2790697675
19336	E01019886	East Devon 005A	E07000040	East Devon	South West	141	299	26.1	1145.5938697318
19348	E01019898	East Devon 014A	E07000040	East Devon	South West	56	220	20.9	1052.6315789474
19395	E01019947	East Devon 010B	E07000040	East Devon	South West	7	205	20.4	1004.9019607843
19399	E01019951	East Devon 009C	E07000040	East Devon	South West	4	272	27.1	1003.6900369004
19409	E01019961	East Devon 007E	E07000040	East Devon	South West	124	388	34.5	1124.6376811594
19462	E01020016	Exeter 008C	E07000041	Exeter	South West	178	220	18.4	1195.6521739131
19463	E01020017	Exeter 008D	E07000041	Exeter	South West	46	294	28.1	1046.2633451957
19464	E01020018	Exeter 008E	E07000041	Exeter	South West	141	198	17.3	1144.5086705202
19469	E01020023	Exeter 009B	E07000041	Exeter	South West	33	121	11.7	1034.188034188
19507	E01020063	Mid Devon 003A	E07000042	Mid Devon	South West	81	163	15.1	1079.4701986755
19538	E01020094	North Devon 008A	E07000043	North Devon	South West	41	191	18.4	1038.0434782609
19582	E01020138	North Devon 014C	E07000043	North Devon	South West	11	353	35	1008.5714285714
19586	E01020142	South Hams 006A	E07000044	South Hams	South West	6	330	32.8	1006.0975609756
19605	E01020161	South Hams 005A	E07000044	South Hams	South West	102	155	14.1	1099.2907801419
19613	E01020169	South Hams 010B	E07000044	South Hams	South West	95	215	19.6	1096.9387755102
19633	E01020189	South Hams 010C	E07000044	South Hams	South West	22	168	16.5	1018.1818181818
19713	E01020269	Teignbridge 010B	E07000045	Teignbridge	South West	175	228	19.2	1187.5
19723	E01020279	Torridge 004C	E07000046	Torridge	South West	26	165	16.1	1024.8447204969
19724	E01020280	Torridge 003A	E07000046	Torridge	South West	178	296	24.7	1198.3805668016
19754	E01020310	Torridge 002C	E07000046	Torridge	South West	116	225	20.1	1119.4029850746
19782	E01020338	West Devon 005G	E07000047	West Devon	South West	58	116	11	1054.5454545455
19793	E01020349	Christchurch 003A	E07000048	Christchurch	South West	74	88	8.2	1073.1707317073
19812	E01020368	Christchurch 006E	E07000048	Christchurch	South West	171	175	14.8	1182.4324324324
19843	E01020399	East Dorset 011B	E07000049	East Dorset	South West	47	108	10.3	1048.5436893204
19850	E01020406	East Dorset 004D	E07000049	East Dorset	South West	80	140	13	1076.9230769231
19882	E01020438	North Dorset 007D	E07000050	North Dorset	South West	114	194	17.4	1114.9425287356
19883	E01020439	North Dorset 007E	E07000050	North Dorset	South West	16	142	14	1014.2857142857
19946	E01020504	West Dorset 008C	E07000052	West Dorset	South West	123	182	16.2	1123.4567901235
19951	E01020509	West Dorset 004A	E07000052	West Dorset	South West	175	330	27.7	1191.3357400722
19969	E01020529	West Dorset 004C	E07000052	West Dorset	South West	7	283	28.1	1007.1174377224
19980	E01020540	West Dorset 004E	E07000052	West Dorset	South West	76	248	23	1078.2608695652
19992	E01020554	Weymouth and Portland 004B	E07000053	Weymouth and Portland	South West	16	222	21.9	1013.698630137
20017	E01020581	Weymouth and Portland 004E	E07000053	Weymouth and Portland	South West	25	175	17.1	1023.3918128655
20079	E01020643	County Durham 010E	E06000047	County Durham	North East	39	188	18.1	1038.6740331492
20080	E01020644	County Durham 014D	E06000047	County Durham	North East	33	158	15.3	1032.6797385621
20150	E01020715	County Durham 031C	E06000047	County Durham	North East	53	207	19.7	1050.7614213198
20228	E01020797	County Durham 050A	E06000047	County Durham	North East	169	242	20.6	1174.7572815534
20258	E01020829	County Durham 054C	E06000047	County Durham	North East	22	132	12.9	1023.2558139535
20291	E01020862	County Durham 064F	E06000047	County Durham	North East	85	244	22.5	1084.4444444445
20326	E01020897	County Durham 057E	E06000047	County Durham	North East	60	143	13.5	1059.2592592593
20341	E01020912	Eastbourne 010C	E07000061	Eastbourne	South East	34	152	14.7	1034.0136054422
20364	E01020935	Eastbourne 011A	E07000061	Eastbourne	South East	73	122	11.4	1070.1754385965
20365	E01020936	Eastbourne 011B	E07000061	Eastbourne	South East	25	72	7	1028.5714285714
20393	E01020965	Eastbourne 008C	E07000061	Eastbourne	South East	28	114	11.1	1027.027027027
20398	E01020970	Hastings 001B	E07000062	Hastings	South East	4	52	5.2	1000
20406	E01020978	Hastings 009A	E07000062	Hastings	South East	113	210	18.9	1111.1111111111
20407	E01020979	Hastings 009B	E07000062	Hastings	South East	164	174	14.9	1167.7852348993
20410	E01020982	Hastings 011A	E07000062	Hastings	South East	35	210	20.3	1034.4827586207
20411	E01020983	Hastings 011B	E07000062	Hastings	South East	35	152	14.7	1034.0136054422
20412	E01020984	Hastings 011C	E07000062	Hastings	South East	167	194	16.5	1175.7575757576
20413	E01020985	Hastings 011D	E07000062	Hastings	South East	86	190	17.5	1085.7142857143
20519	E01021091	Rother 011B	E07000064	Rother	South East	84	144	13.3	1082.7067669173
20538	E01021110	Rother 005E	E07000064	Rother	South East	104	189	17.1	1105.2631578947
20594	E01021166	Wealden 018C	E07000065	Wealden	South East	50	198	18.9	1047.6190476191
20598	E01021170	Wealden 008C	E07000065	Wealden	South East	103	332	30.1	1102.9900332226
20792	E01021365	Braintree 009D	E07000067	Braintree	East of England	120	137	12.2	1122.9508196721
20796	E01021369	Braintree 012D	E07000067	Braintree	East of England	69	86	8	1075
20800	E01021373	Braintree 011D	E07000067	Braintree	East of England	31	72	7	1028.5714285714
20814	E01021387	Braintree 004A	E07000067	Braintree	East of England	5	109	10.9	1000
20920	E01021495	Castle Point 009C	E07000069	Castle Point	East of England	129	140	12.4	1129.0322580645
21065	E01021646	Colchester 007A	E07000071	Colchester	East of England	8	112	11.1	1009.009009009
21067	E01021648	Colchester 007C	E07000071	Colchester	East of England	113	145	13	1115.3846153846
21068	E01021649	Colchester 007D	E07000071	Colchester	East of England	42	125	12	1041.6666666667
21098	E01021680	Colchester 004B	E07000071	Colchester	East of England	77	121	11.2	1080.3571428572
21232	E01021817	Epping Forest 008E	E07000072	Epping Forest	East of England	55	98	9.3	1053.7634408602
21272	E01021857	Harlow 001D	E07000073	Harlow	East of England	59	97	9.2	1054.347826087
21401	E01021988	Tendring 018A	E07000076	Tendring	East of England	20	272	26.7	1018.7265917603
21511	E01022102	Cheltenham 008C	E07000078	Cheltenham	South West	70	188	17.6	1068.1818181818
21512	E01022103	Cheltenham 012A	E07000078	Cheltenham	South West	34	134	13	1030.7692307692
21532	E01022123	Cheltenham 010D	E07000078	Cheltenham	South West	13	61	6	1016.6666666667
21567	E01022158	Cheltenham 007F	E07000078	Cheltenham	South West	72	166	15.5	1070.9677419355
21603	E01022194	Cotswold 007A	E07000079	Cotswold	South West	24	187	18.3	1021.8579234973
21632	E01022223	Cotswold 010B	E07000079	Cotswold	South West	53	177	16.8	1053.5714285714
21720	E01022311	Gloucester 002C	E07000081	Gloucester	South West	29	147	14.3	1027.972027972
21772	E01022365	Stroud 006A	E07000082	Stroud	South West	30	177	17.2	1029.0697674419
21784	E01022377	Stroud 004E	E07000082	Stroud	South West	20	133	13.1	1015.2671755725
21817	E01022410	Stroud 006C	E07000082	Stroud	South West	15	202	19.9	1015.0753768844
21819	E01022412	Stroud 001D	E07000082	Stroud	South West	182	238	19.8	1202.0202020202
21821	E01022414	Stroud 006E	E07000082	Stroud	South West	136	196	17.2	1139.5348837209
21899	E01022494	Basingstoke and Deane 008C	E07000084	Basingstoke and Deane	South East	25	31	3	1033.3333333333
22021	E01022625	East Hampshire 011E	E07000085	East Hampshire	South East	90	101	9.3	1086.0215053764
22061	E01022668	Eastleigh 006A	E07000086	Eastleigh	South East	11	88	8.7	1011.4942528736
22081	E01022688	Eastleigh 015A	E07000086	Eastleigh	South East	38	55	5.3	1037.7358490566
22200	E01022811	Gosport 008B	E07000088	Gosport	South East	92	120	11	1090.9090909091
22325	E01022945	Havant 016C	E07000090	Havant	South East	50	79	7.5	1053.3333333333
22333	E01022953	Havant 014A	E07000090	Havant	South East	30	91	8.8	1034.0909090909
22533	E01023155	Test Valley 003A	E07000093	Test Valley	South East	85	147	13.5	1088.8888888889
22728	E01023352	Dacorum 004A	E07000096	Dacorum	East of England	5	135	13.4	1007.4626865672
22773	E01023398	Dacorum 015D	E07000096	Dacorum	East of England	64	116	10.9	1064.2201834862
22821	E01023446	East Hertfordshire 007D	E07000097	East Hertfordshire	East of England	122	123	11	1118.1818181818
22873	E01023498	East Hertfordshire 006A	E07000097	East Hertfordshire	East of England	93	99	9.1	1087.9120879121
22973	E01023601	North Hertfordshire 010A	E07000099	North Hertfordshire	East of England	93	106	9.7	1092.7835051546
22988	E01023616	North Hertfordshire 012F	E07000099	North Hertfordshire	East of England	25	102	10	1020
23029	E01023657	North Hertfordshire 002D	E07000099	North Hertfordshire	East of England	8	66	6.6	1000
23032	E01023660	North Hertfordshire 001A	E07000099	North Hertfordshire	East of England	37	81	7.8	1038.4615384615
23098	E01023727	St Albans 012B	E07000100	St Albans	East of England	15	95	9.4	1010.6382978723
23129	E01023758	Stevenage 008D	E07000101	Stevenage	East of England	44	109	10.5	1038.0952380952
23232	E01023861	Watford 009C	E07000103	Watford	East of England	106	107	9.7	1103.0927835052
23257	E01023886	Watford 008A	E07000103	Watford	East of England	96	164	15	1093.3333333333
23332	E01023963	Welwyn Hatfield 014B	E07000104	Welwyn Hatfield	East of England	10	85	8.4	1011.9047619048
23489	E01024130	Canterbury 019C	E07000106	Canterbury	South East	83	88	8.1	1086.4197530864
23557	E01024198	Dover 014A	E07000108	Dover	South East	75	138	12.8	1078.125
23608	E01024252	Dover 004D	E07000108	Dover	South East	139	166	14.5	1144.8275862069
23680	E01024325	Maidstone 014A	E07000110	Maidstone	South East	1	90	9	1000
23695	E01024340	Maidstone 006B	E07000110	Maidstone	South East	34	103	10	1030
23812	E01024461	Sevenoaks 010C	E07000111	Sevenoaks	South East	49	91	8.7	1045.9770114943
23855	E01024504	Shepway 014A	E07000112	Shepway	South East	78	187	17.3	1080.9248554913
23857	E01024507	Shepway 014B	E07000112	Shepway	South East	61	155	14.6	1061.6438356164
23858	E01024508	Shepway 015A	E07000112	Shepway	South East	109	157	14.2	1105.6338028169
23885	E01024535	Shepway 013D	E07000112	Shepway	South East	9	105	10.4	1009.6153846154
23902	E01024553	Swale 015C	E07000113	Swale	South East	3	114	11.4	1000
23917	E01024568	Swale 009D	E07000113	Swale	South East	35	73	7.1	1028.1690140845
23927	E01024579	Swale 007E	E07000113	Swale	South East	56	79	7.5	1053.3333333333
23982	E01024636	Thanet 008A	E07000114	Thanet	South East	85	86	7.9	1088.6075949367
24003	E01024657	Thanet 001A	E07000114	Thanet	South East	10	241	23.9	1008.3682008368
24024	E01024678	Thanet 001E	E07000114	Thanet	South East	39	158	15.2	1039.4736842105
24143	E01024802	Tunbridge Wells 008B	E07000116	Tunbridge Wells	South East	82	119	11	1081.8181818182
24260	E01024919	Chorley 008A	E07000118	Chorley	North West	100	103	9.4	1095.7446808511
24286	E01024945	Chorley 012D	E07000118	Chorley	North West	147	149	13	1146.1538461539
24357	E01025016	Fylde 005D	E07000119	Fylde	North West	13	103	10.2	1009.8039215686
24512	E01025176	Pendle 008C	E07000122	Pendle	North West	6	139	13.8	1007.2463768116
24631	E01025295	Preston 014A	E07000123	Preston	North West	78	186	17.3	1075.1445086705
24753	E01025420	South Ribble 012D	E07000126	South Ribble	North West	48	109	10.4	1048.0769230769
24885	E01025553	Wyre 007B	E07000128	Wyre	North West	24	130	12.7	1023.6220472441
24908	E01025576	Wyre 011D	E07000128	Wyre	North West	57	120	11.4	1052.6315789474
25010	E01025679	Charnwood 019A	E07000130	Charnwood	East Midlands	11	170	16.8	1011.9047619048
25100	E01025771	Harborough 005A	E07000131	Harborough	East Midlands	47	304	29.1	1044.6735395189
25121	E01025792	Harborough 010C	E07000131	Harborough	East Midlands	115	162	14.5	1117.2413793104
25122	E01025793	Harborough 010D	E07000131	Harborough	East Midlands	7	129	12.8	1007.8125
25137	E01025808	Harborough 006B	E07000131	Harborough	East Midlands	56	286	27.1	1055.3505535055
25206	E01025878	Hinckley and Bosworth 001E	E07000132	Hinckley and Bosworth	East Midlands	61	214	20.2	1059.4059405941
25252	E01025925	North West Leicestershire 001B	E07000134	North West Leicestershire	East Midlands	189	228	18.8	1212.7659574468
25331	E01026006	Boston 003A	E07000136	Boston	East Midlands	166	309	26.4	1170.4545454546
25336	E01026011	Boston 002B	E07000136	Boston	East Midlands	132	195	17.2	1133.7209302326
25341	E01026016	Boston 006A	E07000136	Boston	East Midlands	6	338	33.6	1005.9523809524
25344	E01026019	Boston 007C	E07000136	Boston	East Midlands	170	209	17.7	1180.790960452
25350	E01026025	Boston 003C	E07000136	Boston	East Midlands	8	213	21.2	1004.7169811321
25354	E01026029	Boston 009A	E07000136	Boston	East Midlands	24	177	17.3	1023.1213872832
25355	E01026030	Boston 002C	E07000136	Boston	East Midlands	16	174	17.1	1017.5438596491
25406	E01026081	East Lindsey 004A	E07000137	East Lindsey	East Midlands	178	251	21	1195.2380952381
25407	E01026082	East Lindsey 007B	E07000137	East Lindsey	East Midlands	29	431	41.9	1028.6396181384
25410	E01026085	East Lindsey 012B	E07000137	East Lindsey	East Midlands	119	140	12.5	1120
25427	E01026103	East Lindsey 006A	E07000137	East Lindsey	East Midlands	30	237	23	1030.4347826087
25428	E01026104	East Lindsey 006B	E07000137	East Lindsey	East Midlands	109	215	19.4	1108.2474226804
25432	E01026108	East Lindsey 003G	E07000137	East Lindsey	East Midlands	71	199	18.6	1069.8924731183
25433	E01026109	East Lindsey 006C	E07000137	East Lindsey	East Midlands	161	300	25.7	1167.3151750973
25445	E01026121	East Lindsey 007C	E07000137	East Lindsey	East Midlands	130	340	30.1	1129.5681063123
25447	E01026123	Lincoln 004B	E07000138	Lincoln	East Midlands	31	175	17	1029.4117647059
25457	E01026133	Lincoln 008A	E07000138	Lincoln	East Midlands	16	275	27.1	1014.7601476015
25471	E01026147	Lincoln 003C	E07000138	Lincoln	East Midlands	46	156	14.9	1046.9798657718
25477	E01026153	Lincoln 002A	E07000138	Lincoln	East Midlands	113	131	11.8	1110.1694915254
25506	E01026183	North Kesteven 007B	E07000139	North Kesteven	East Midlands	117	311	27.8	1118.7050359712
25511	E01026188	North Kesteven 004C	E07000139	North Kesteven	East Midlands	61	101	9.5	1063.1578947369
25541	E01026220	North Kesteven 013A	E07000139	North Kesteven	East Midlands	42	150	14.4	1041.6666666667
25542	E01026221	North Kesteven 009B	E07000139	North Kesteven	East Midlands	65	335	31.5	1063.4920634921
25553	E01026232	North Kesteven 010D	E07000139	North Kesteven	East Midlands	37	156	15.1	1033.1125827815
25555	E01026234	North Kesteven 011D	E07000139	North Kesteven	East Midlands	73	75	7	1071.4285714286
25600	E01026280	South Holland 010C	E07000140	South Holland	East Midlands	40	320	30.8	1038.961038961
25635	E01026316	South Kesteven 007D	E07000141	South Kesteven	East Midlands	59	296	28	1057.1428571429
25650	E01026331	South Kesteven 009B	E07000141	South Kesteven	East Midlands	65	277	26	1065.3846153846
25652	E01026333	South Kesteven 001D	E07000141	South Kesteven	East Midlands	36	241	23.3	1034.3347639485
25674	E01026355	South Kesteven 002C	E07000141	South Kesteven	East Midlands	20	182	17.9	1016.7597765363
25680	E01026361	South Kesteven 008D	E07000141	South Kesteven	East Midlands	146	285	24.8	1149.1935483871
25684	E01026365	South Kesteven 002D	E07000141	South Kesteven	East Midlands	13	226	22.3	1013.4529147982
25691	E01026372	West Lindsey 008A	E07000142	West Lindsey	East Midlands	53	191	18.2	1049.4505494506
25706	E01026387	West Lindsey 001C	E07000142	West Lindsey	East Midlands	115	374	33.5	1116.4179104478
25711	E01026392	West Lindsey 003D	E07000142	West Lindsey	East Midlands	208	430	32.9	1306.990881459
25716	E01026397	West Lindsey 009B	E07000142	West Lindsey	East Midlands	17	322	31.7	1015.7728706625
25730	E01026411	West Lindsey 005D	E07000142	West Lindsey	East Midlands	64	376	35.3	1065.1558073654
25745	E01026428	Breckland 003A	E07000143	Breckland	East of England	57	105	9.9	1060.6060606061
25783	E01026468	Breckland 016A	E07000143	Breckland	East of England	33	118	11.4	1035.0877192983
25785	E01026470	Breckland 016C	E07000143	Breckland	East of England	48	51	4.9	1040.8163265306
25855	E01026541	Broadland 009B	E07000144	Broadland	East of England	14	96	9.5	1010.5263157895
25926	E01026612	Great Yarmouth 010C	E07000145	Great Yarmouth	East of England	54	103	9.8	1051.0204081633
25998	E01026686	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	3	64	6.4	1000
26006	E01026694	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	66	239	22.4	1066.9642857143
26010	E01026698	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	17	135	13.3	1015.037593985
26034	E01026722	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	11	84	8.3	1012.0481927711
26039	E01026727	King's Lynn and West Norfolk 0	E07000146	King's Lynn and West Norfolk	East of England	84	272	25.1	1083.6653386454
26042	E01026730	North Norfolk 008B	E07000147	North Norfolk	East of England	57	217	20.5	1058.5365853659
26045	E01026733	North Norfolk 006C	E07000147	North Norfolk	East of England	22	297	29.1	1020.618556701
26050	E01026738	North Norfolk 007A	E07000147	North Norfolk	East of England	71	251	23.4	1072.6495726496
26052	E01026740	North Norfolk 012A	E07000147	North Norfolk	East of England	74	335	31.2	1073.717948718
26055	E01026743	North Norfolk 004C	E07000147	North Norfolk	East of England	100	135	12.3	1097.5609756098
26074	E01026762	North Norfolk 005A	E07000147	North Norfolk	East of England	42	221	21.2	1042.4528301887
26092	E01026780	North Norfolk 009A	E07000147	North Norfolk	East of England	109	217	19.6	1107.1428571429
26108	E01026797	Norwich 001A	E07000148	Norwich	East of England	60	69	6.5	1061.5384615385
26134	E01026823	Norwich 007B	E07000148	Norwich	East of England	90	151	13.9	1086.3309352518
26158	E01026848	Norwich 015A	E07000148	Norwich	East of England	7	83	8.3	1000
26162	E01026853	Norwich 011B	E07000148	Norwich	East of England	1	100	10	1000
26201	E01026894	South Norfolk 012C	E07000149	South Norfolk	East of England	21	256	25.1	1019.9203187251
26204	E01026897	South Norfolk 011C	E07000149	South Norfolk	East of England	87	241	22.2	1085.5855855856
26239	E01026933	South Norfolk 007C	E07000149	South Norfolk	East of England	100	108	9.8	1102.0408163265
26402	E01027101	Kettering 011C	E07000153	Kettering	East Midlands	32	162	15.7	1031.847133758
26405	E01027104	Kettering 007A	E07000153	Kettering	East Midlands	116	197	17.6	1119.3181818182
26411	E01027110	Kettering 007B	E07000153	Kettering	East Midlands	132	166	14.7	1129.2517006803
26424	E01027124	Kettering 003B	E07000153	Kettering	East Midlands	22	202	19.8	1020.202020202
26426	E01027126	Kettering 003D	E07000153	Kettering	East Midlands	15	175	17.3	1011.5606936416
26431	E01027131	Kettering 009D	E07000153	Kettering	East Midlands	12	131	13	1007.6923076923
26452	E01027153	Northampton 021C	E07000154	Northampton	East Midlands	14	213	21	1014.2857142857
26504	E01027206	Northampton 031D	E07000154	Northampton	East Midlands	52	102	9.7	1051.5463917526
26521	E01027223	Northampton 025A	E07000154	Northampton	East Midlands	128	226	20	1130
26573	E01027276	South Northamptonshire 008A	E07000155	South Northamptonshire	East Midlands	65	142	13.3	1067.6691729323
26611	E01027315	Wellingborough 004C	E07000156	Wellingborough	East Midlands	84	172	15.9	1081.7610062893
26634	E01027338	Wellingborough 001D	E07000156	Wellingborough	East Midlands	13	176	17.4	1011.4942528736
26650	E01027354	Wellingborough 010E	E07000156	Wellingborough	East Midlands	75	172	16	1075
26767	E01027476	Northumberland 035A	E06000048	Northumberland	North East	139	239	20.9	1143.5406698565
26770	E01027479	Northumberland 019A	E06000048	Northumberland	North East	12	419	41.4	1012.077294686
26785	E01027494	Northumberland 035G	E06000048	Northumberland	North East	2	153	15.3	1000
26789	E01027498	Northumberland 038B	E06000048	Northumberland	North East	144	155	13.5	1148.1481481482
26859	E01027570	Craven 001D	E07000163	Craven	Yorkshire and The Humber	120	311	27.7	1122.7436823105
26861	E01027572	Craven 003C	E07000163	Craven	Yorkshire and The Humber	20	241	23.7	1016.8776371308
26870	E01027581	Craven 006C	E07000163	Craven	Yorkshire and The Humber	159	240	20.6	1165.0485436893
26879	E01027590	Hambleton 003A	E07000164	Hambleton	Yorkshire and The Humber	3	212	21.2	1000
26906	E01027618	Hambleton 002B	E07000164	Hambleton	Yorkshire and The Humber	65	294	27.6	1065.2173913044
26909	E01027621	Hambleton 009A	E07000164	Hambleton	Yorkshire and The Humber	21	159	15.6	1019.2307692308
27038	E01027750	Richmondshire 004B	E07000166	Richmondshire	Yorkshire and The Humber	23	101	9.9	1020.202020202
27064	E01027778	Ryedale 007B	E07000167	Ryedale	Yorkshire and The Humber	28	408	39.7	1027.7078085642
27075	E01027789	Ryedale 008E	E07000167	Ryedale	Yorkshire and The Humber	83	171	15.8	1082.2784810127
27122	E01027836	Scarborough 004E	E07000168	Scarborough	Yorkshire and The Humber	40	200	19.2	1041.6666666667
27126	E01027840	Scarborough 002C	E07000168	Scarborough	Yorkshire and The Humber	2	322	32.2	1000
27133	E01027847	Scarborough 006D	E07000168	Scarborough	Yorkshire and The Humber	14	330	32.6	1012.2699386503
27154	E01027868	Scarborough 010E	E07000168	Scarborough	Yorkshire and The Humber	177	280	23.4	1196.5811965812
27184	E01027898	Selby 004A	E07000169	Selby	Yorkshire and The Humber	22	144	14.1	1021.2765957447
27196	E01027910	Selby 005F	E07000169	Selby	Yorkshire and The Humber	123	163	14.5	1124.1379310345
27215	E01027929	Ashfield 013A	E07000170	Ashfield	East Midlands	71	142	13.3	1067.6691729323
27285	E01027999	Bassetlaw 002A	E07000171	Bassetlaw	East Midlands	17	200	19.7	1015.2284263959
27320	E01028034	Bassetlaw 003B	E07000171	Bassetlaw	East Midlands	31	237	23	1030.4347826087
27421	E01028137	Broxtowe 015C	E07000172	Broxtowe	East Midlands	5	44	4.4	1000
27622	E01028345	Newark and Sherwood 008A	E07000175	Newark and Sherwood	East Midlands	18	210	20.6	1019.4174757282
27630	E01028353	Newark and Sherwood 004D	E07000175	Newark and Sherwood	East Midlands	174	232	19.6	1183.6734693878
27696	E01028419	Rushcliffe 010B	E07000176	Rushcliffe	East Midlands	69	183	17.1	1070.1754385965
27807	E01028532	Oxford 013B	E07000178	Oxford	South East	4	115	11.5	1000
27857	E01028584	Oxford 003C	E07000178	Oxford	South East	101	163	14.8	1101.3513513514
27922	E01028652	South Oxfordshire 016C	E07000179	South Oxfordshire	South East	43	113	10.8	1046.2962962963
28071	E01028807	West Oxfordshire 010A	E07000181	West Oxfordshire	South East	5	56	5.6	1000
28204	E01028943	Shropshire 020C	E06000051	Shropshire	West Midlands	54	79	7.5	1053.3333333333
28206	E01028945	Shropshire 017D	E06000051	Shropshire	West Midlands	12	179	17.7	1011.2994350283
28207	E01028946	Shropshire 019A	E06000051	Shropshire	West Midlands	105	368	33.3	1105.1051051051
28220	E01028959	Shropshire 024D	E06000051	Shropshire	West Midlands	71	292	27.3	1069.5970695971
28248	E01028987	Shropshire 019D	E06000051	Shropshire	West Midlands	36	201	19.4	1036.0824742268
28258	E01028997	Shropshire 032B	E06000051	Shropshire	West Midlands	53	248	23.6	1050.8474576271
28259	E01028998	Shropshire 032C	E06000051	Shropshire	West Midlands	81	265	24.5	1081.6326530612
28264	E01029003	Shropshire 037B	E06000051	Shropshire	West Midlands	15	486	47.9	1014.6137787056
28278	E01029019	Mendip 013A	E07000187	Mendip	South West	10	307	30.4	1009.8684210526
28320	E01029063	Mendip 009B	E07000187	Mendip	South West	28	91	8.9	1022.4719101124
28365	E01029110	Sedgemoor 009C	E07000188	Sedgemoor	South West	28	120	11.7	1025.641025641
28367	E01029112	Sedgemoor 009E	E07000188	Sedgemoor	South West	32	165	16	1031.25
28395	E01029140	Sedgemoor 002F	E07000188	Sedgemoor	South West	169	183	15.6	1173.0769230769
28406	E01029153	South Somerset 024A	E07000189	South Somerset	South West	103	409	37.1	1102.4258760108
28424	E01029171	South Somerset 023B	E07000189	South Somerset	South West	24	151	14.8	1020.2702702703
28447	E01029194	South Somerset 019B	E07000189	South Somerset	South West	112	135	12.1	1115.7024793389
28474	E01029221	South Somerset 001C	E07000189	South Somerset	South West	58	453	42.9	1055.9440559441
28483	E01029230	South Somerset 024D	E07000189	South Somerset	South West	20	371	36.4	1019.2307692308
28487	E01029234	South Somerset 015B	E07000189	South Somerset	South West	20	156	15.3	1019.6078431373
28537	E01029285	Taunton Deane 007A	E07000190	Taunton Deane	South West	98	186	16.9	1100.5917159763
