 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
5792	E01005952	Tameside 013D	E08000008	Tameside	North West	165	197	16.8	1172.6190476191
6025	E01006185	Trafford 001E	E08000009	Trafford	North West	8	200	19.9	1005.0251256281
6027	E01006187	Trafford 003C	E08000009	Trafford	North West	141	209	18.3	1142.0765027322
6085	E01006245	Wigan 023D	E08000010	Wigan	North West	72	126	11.8	1067.7966101695
6328	E01006490	Knowsley 002E	E08000011	Knowsley	North West	22	62	6.1	1016.393442623
6351	E01006514	Liverpool 037A	E08000012	Liverpool	North West	104	371	33.6	1104.1666666667
6355	E01006520	Liverpool 043A	E08000012	Liverpool	North West	166	195	16.6	1174.6987951807
6357	E01006522	Liverpool 048A	E08000012	Liverpool	North West	84	183	16.9	1082.8402366864
6390	E01006556	Liverpool 039B	E08000012	Liverpool	North West	7	366	36.4	1005.4945054945
6472	E01006646	Liverpool 023C	E08000012	Liverpool	North West	1	109	10.9	1000
6474	E01006648	Liverpool 023D	E08000012	Liverpool	North West	67	96	9	1066.6666666667
6499	E01006675	Liverpool 043C	E08000012	Liverpool	North West	118	310	27.7	1119.1335740072
6502	E01006678	Liverpool 044E	E08000012	Liverpool	North West	52	175	16.7	1047.9041916168
6519	E01006695	Liverpool 028C	E08000012	Liverpool	North West	19	289	28.4	1017.6056338028
6595	E01006778	Liverpool 014E	E08000012	Liverpool	North West	114	197	17.7	1112.9943502825
6615	E01006799	Liverpool 051E	E08000012	Liverpool	North West	134	157	13.8	1137.6811594203
6716	E01006900	St. Helens 022B	E08000013	St. Helens	North West	54	95	9	1055.5555555556
6783	E01006968	Sefton 004C	E08000014	Sefton	North West	43	180	17.3	1040.4624277457
6936	E01007126	Wirral 016A	E08000015	Wirral	North West	153	201	17.4	1155.1724137931
7248	E01007443	Barnsley 013F	E08000016	Barnsley	Yorkshire and The Humber	27	209	20.4	1024.5098039216
7330	E01007527	Doncaster 027B	E08000017	Doncaster	Yorkshire and The Humber	43	111	10.7	1037.3831775701
7335	E01007532	Doncaster 023B	E08000017	Doncaster	Yorkshire and The Humber	39	259	25	1036
7412	E01007609	Doncaster 038B	E08000017	Doncaster	Yorkshire and The Humber	45	158	15.1	1046.357615894
7517	E01007714	Rotherham 017B	E08000018	Rotherham	Yorkshire and The Humber	15	240	23.7	1012.6582278481
7684	E01007889	Sheffield 004B	E08000019	Sheffield	Yorkshire and The Humber	73	126	11.7	1076.9230769231
7765	E01007970	Sheffield 049D	E08000019	Sheffield	Yorkshire and The Humber	8	124	12.3	1008.1300813008
7955	E01008168	Gateshead 027D	E08000020	Gateshead	North East	73	182	17	1070.5882352941
8021	E01008234	Gateshead 020C	E08000020	Gateshead	North East	18	140	13.8	1014.4927536232
8045	E01008258	Gateshead 007C	E08000020	Gateshead	North East	130	149	13.2	1128.7878787879
8046	E01008259	Gateshead 007D	E08000020	Gateshead	North East	25	219	21.4	1023.3644859813
8090	E01008303	Newcastle upon Tyne 018A	E08000021	Newcastle upon Tyne	North East	45	225	21.6	1041.6666666667
8091	E01008304	Newcastle upon Tyne 026C	E08000021	Newcastle upon Tyne	North East	60	298	28.1	1060.4982206406
